Zaman damgası,Hoca seç,Dersi ne kadar güzel anlatır?,Dersini geçmek ne kadar kolaydır?,Dersi ne kadar iyi öğretir?,Dersi ne kadar eğlenceli anlatır?
09.01.2024 23:53:29,Prof. Dr. M. Elif Karslıgil,6.0,4.0,7.0,3.0
10.01.2024 15:32:56,Dr. M. Utku Kalay,1.0,4.0,4.0,1.0
11.01.2024 13:03:05,Prof. Dr. Banu Diri,10.0,9.0,10.0,10.0
11.01.2024 13:05:04,Prof. Dr. M. Fatih Amasyalı,10.0,8.0,9.0,9.0
11.01.2024 14:34:58,Doç. Dr. M. Amaç Güvensan,9.0,4.0,8.0,3.0
11.01.2024 16:09:38,Dr. Yunus Emre Selçuk,4.0,8.0,4.0,5.0
11.01.2024 21:07:27,Prof. Dr. Songül Varlı,6.0,4.0,5.0,2.0
13.01.2024 12:30:18,Prof. Dr. M. Elif Karslıgil,1.0,1.0,1.0,1.0
13.01.2024 13:07:10,Dr. Ahmet Elbir,2.0,1.0,2.0,1.0
13.01.2024 16:36:43,Dr. Ziya Cihan Tayşi,1.0,3.0,1.0,1.0
13.01.2024 16:37:03,Prof. Dr. Nizamettin Aydın,3.0,8.0,3.0,3.0
13.01.2024 16:37:26,Prof. Dr. Hasan Hüseyin Balık,4.0,5.0,4.0,6.0
15.01.2024 10:05:32,Dr. Ziya Cihan Tayşi,1.0,3.0,3.0,1.0
23.01.2024 17:54:45,Dr. Erkan Uslu,10.0,10.0,10.0,10.0
24.01.2024 08:21:31,Dr. Ziya Cihan Tayşi,1.0,1.0,3.0,1.0
25.01.2024 09:29:41,Arş. Grv. İdris DEMİR,4.0,7.0,3.0,2.0
25.01.2024 12:34:48,Arş. Grv. Elçin GÜVEYİ,8.0,5.0,9.0,7.0
25.01.2024 15:01:15,Arş. Grv. Hatice ERDİRİK,6.0,7.0,6.0,6.0
04.02.2024 17:37:06,Dr. Ahmet Elbir,10.0,10.0,10.0,9.0
07.02.2024 15:47:15,Doç. Dr. Mehmet Sıddık Aktaş,4.0,5.0,2.0,1.0
09.02.2024 14:07:36,Dr. Yunus Emre Selçuk,10.0,10.0,10.0,10.0
12.02.2024 10:47:21,Dr. M. Utku Kalay,3.0,10.0,5.0,1.0
14.02.2024 10:38:35,Dr. Ziya Cihan Tayşi,1.0,1.0,1.0,1.0
14.02.2024 13:36:08,Arş. Grv. Kübra ADALI,1.0,8.0,3.0,1.0
14.02.2024 15:13:52,Dr. Erkan Uslu,1.0,2.0,1.0,1.0
14.02.2024 15:14:09,Dr. Ahmet Elbir,2.0,4.0,1.0,1.0
14.02.2024 15:14:28,Dr. Yunus Emre Selçuk,5.0,5.0,6.0,6.0
14.02.2024 15:14:45,Prof. Dr. M. Elif Karslıgil,8.0,5.0,8.0,7.0
14.02.2024 15:15:09,Doç. Dr. M. Amaç Güvensan,9.0,6.0,8.0,9.0
14.02.2024 15:15:29,Prof. Dr. Banu Diri,7.0,6.0,8.0,10.0
14.02.2024 15:54:50,Doç. Dr. M. Amaç Güvensan,4.0,1.0,3.0,2.0
14.02.2024 15:57:55,Prof. Dr. Banu Diri,10.0,10.0,9.0,10.0
16.02.2024 10:19:22,Arş. Grv. İdris DEMİR,4.0,9.0,4.0,1.0
16.02.2024 10:19:48,Arş. Grv. Hatice ERDİRİK,7.0,9.0,7.0,8.0
16.02.2024 10:20:09,Arş. Grv. Ömer Mutlu Türk KAYA,9.0,7.0,10.0,5.0
16.02.2024 10:20:22,Arş. Grv. Sultan Sevgi TURGUT,8.0,6.0,9.0,9.0
16.02.2024 10:20:39,Arş. Grv. Elçin GÜVEYİ,10.0,5.0,9.0,9.0
16.02.2024 10:21:24,Arş. Grv. Mustafa Mert KARA,8.0,5.0,8.0,6.0
16.02.2024 10:21:57,Arş. Grv. Elif AŞICI,3.0,6.0,2.0,1.0
16.02.2024 10:33:05,Arş. Grv. Himmet Toprak KESGİN,8.0,7.0,8.0,6.0
16.02.2024 10:53:02,Dr. Ziya Cihan Tayşi,1.0,2.0,1.0,1.0
16.02.2024 10:56:34,Arş. Grv. Muhammed Enes ÖZELBAŞ,7.0,5.0,7.0,3.0
16.02.2024 11:14:32,Arş. Grv. Mustafa CEBECİ,7.0,5.0,7.0,4.0
16.02.2024 12:47:32,Dr. Erkan Uslu,10.0,8.0,10.0,7.0
16.02.2024 18:03:46,Prof. Dr. Songül Varlı,9.0,9.0,7.0,8.0
16.02.2024 19:37:13,Prof. Dr. Banu Diri,9.0,8.0,8.0,10.0
16.02.2024 19:38:01,Prof. Dr. Hasan Hüseyin Balık,1.0,6.0,1.0,1.0
16.02.2024 19:38:34,Prof. Dr. M. Elif Karslıgil,8.0,4.0,8.0,8.0
16.02.2024 19:38:59,Prof. Dr. Nizamettin Aydın,1.0,7.0,1.0,1.0
16.02.2024 19:39:25,Prof. Dr. Oya Kalıpsız,5.0,7.0,4.0,3.0
16.02.2024 19:40:06,Doç. Dr. Ali Can Karaca,5.0,4.0,5.0,4.0
16.02.2024 20:18:54,Doç. Dr. Gökhan Bilgin,8.0,6.0,8.0,4.0
16.02.2024 20:19:30,Doç. Dr. Hamza Osman İlhan,5.0,5.0,5.0,3.0
16.02.2024 20:19:55,Doç. Dr. M. Amaç Güvensan,2.0,2.0,2.0,1.0
16.02.2024 20:21:56,Doç. Dr. Mehmet Sıddık Aktaş,5.0,8.0,6.0,3.0
16.02.2024 20:22:12,Dr. Ahmet Elbir,3.0,3.0,3.0,1.0
16.02.2024 20:22:31,Dr. Erkan Uslu,4.0,3.0,4.0,3.0
16.02.2024 20:23:43,Dr. Furkan Çakmak,6.0,5.0,6.0,7.0
16.02.2024 20:23:59,Dr. Göksel Biricik,4.0,5.0,4.0,3.0
16.02.2024 20:24:15,Dr. M. Utku Kalay,3.0,7.0,3.0,1.0
16.02.2024 20:25:20,Dr. Oğuz Altun,5.0,6.0,5.0,4.0
16.02.2024 20:25:38,Dr. Yunus Emre Selçuk,2.0,5.0,2.0,2.0
16.02.2024 20:25:49,Dr. Ziya Cihan Tayşi,1.0,1.0,1.0,1.0
16.02.2024 20:26:15,Arş. Grv. Alper Eğitmen,7.0,5.0,7.0,6.0
16.02.2024 20:26:33,Arş. Grv. Burak Ahmet ÖZDEN,8.0,7.0,8.0,8.0
16.02.2024 20:26:52,Arş. Grv. Elçin GÜVEYİ,9.0,8.0,9.0,8.0
16.02.2024 20:27:14,Arş. Grv. Hatice ERDİRİK,9.0,5.0,9.0,9.0
16.02.2024 20:28:12,Arş. Grv. Himmet Toprak KESGİN,5.0,5.0,5.0,5.0
16.02.2024 20:28:43,Arş. Grv. Sultan Sevgi TURGUT,8.0,5.0,8.0,8.0
20.02.2024 11:50:07,Dr. Ahmet Elbir,7.0,6.0,9.0,7.0
20.02.2024 21:47:33,Doç. Dr. M. Amaç Güvensan,8.0,4.0,7.0,8.0
23.02.2024 10:06:38,Prof. Dr. Banu Diri,10.0,9.0,10.0,10.0
25.02.2024 22:58:49,Dr. Ziya Cihan Tayşi,1.0,2.0,1.0,1.0
10.03.2024 14:18:10,Dr. Erkan Uslu,10.0,6.0,10.0,10.0
04.04.2024 14:40:31,Prof. Dr. M. Fatih Amasyalı,9.0,6.0,9.0,8.0
18.04.2024 08:23:23,Dr. Göksel Biricik,9.0,6.0,9.0,10.0
19.04.2024 19:44:48,Arş. Grv. Elçin GÜVEYİ,10.0,8.0,10.0,10.0
19.04.2024 21:19:50,Doç. Dr. Mehmet Sıddık Aktaş,10.0,10.0,10.0,10.0
19.04.2024 22:24:55,Dr. H. İrem Türkmen,7.0,9.0,7.0,7.0
19.04.2024 22:43:37,Dr. Ahmet Elbir,9.0,6.0,4.0,1.0
19.04.2024 22:58:10,Prof. Dr. Banu Diri,10.0,7.0,9.0,10.0
19.04.2024 22:58:57,Dr. H. İrem Türkmen,6.0,4.0,4.0,2.0
19.04.2024 22:59:44,Doç. Dr. Gökhan Bilgin,7.0,6.0,3.0,7.0
19.04.2024 23:07:07,Doç. Dr. M. Amaç Güvensan,9.0,4.0,9.0,9.0
19.04.2024 23:18:22,Prof. Dr. Banu Diri,10.0,8.0,10.0,10.0
22.04.2024 18:14:10,Dr. Yunus Emre Selçuk,3.0,7.0,3.0,6.0
23.04.2024 20:20:56,Doç. Dr. Gökhan Bilgin,1.0,3.0,1.0,1.0
23.04.2024 20:21:22,Dr. Yunus Emre Selçuk,1.0,6.0,1.0,5.0
02.05.2024 14:54:42,Prof. Dr. Banu Diri,9.0,9.0,10.0,4.0
02.05.2024 14:55:06,Doç. Dr. Hamza Osman İlhan,5.0,2.0,5.0,1.0
02.05.2024 14:55:35,Dr. Oğuz Altun,2.0,8.0,5.0,1.0
02.05.2024 14:55:57,Arş. Grv. Sultan Sevgi TURGUT,10.0,10.0,10.0,10.0
02.06.2024 21:31:51,Dr. Ahmet Elbir,9.0,10.0,9.0,8.0
02.06.2024 21:32:11,Dr. Ayşe Dalgalı,3.0,8.0,3.0,2.0
02.06.2024 21:32:24,Prof. Dr. M. Fatih Amasyalı,10.0,10.0,10.0,10.0
02.06.2024 22:38:06,Dr. Ayşe Dalgalı,2.0,10.0,2.0,5.0
12.06.2024 22:01:30,Dr. Ayşe Dalgalı,1.0,10.0,1.0,5.0
03.07.2024 14:57:57,Arş. Grv. Hatice ERDİRİK,8.0,6.0,8.0,8.0
09.09.2024 14:42:36,Prof. Dr. M. Elif Karslıgil,10.0,5.0,8.0,9.0
09.09.2024 14:43:08,Prof. Dr. Songül Varlı,10.0,8.0,10.0,8.0
09.09.2024 14:43:30,Doç. Dr. Gökhan Bilgin,10.0,7.0,10.0,10.0
13.11.2024 14:23:43,Dr. Yunus Emre Selçuk,5.0,4.0,6.0,7.0
13.11.2024 14:24:27,Dr. Furkan Çakmak,10.0,6.0,9.0,6.0
15.11.2024 16:38:48,Arş. Grv. Muhammed Enes ÖZELBAŞ,5.0,7.0,7.0,2.0
13.01.2025 10:40:38,Prof. Dr. Banu Diri,10.0,9.0,9.0,10.0
13.01.2025 10:42:20,Dr. Ziya Cihan Tayşi,1.0,1.0,1.0,1.0
26.01.2025 12:19:48,Doç. Dr. M. Amaç Güvensan,6.0,5.0,6.0,3.0
26.01.2025 12:20:35,Dr. Göksel Biricik,9.0,7.0,9.0,9.0
26.01.2025 12:29:45,Prof. Dr. Banu Diri,5.0,1.0,1.0,1.0
26.01.2025 12:30:00,Doç. Dr. M. Amaç Güvensan,8.0,5.0,10.0,8.0
26.01.2025 12:30:04,Doç. Dr. Hamza Osman İlhan,1.0,5.0,1.0,1.0
26.01.2025 12:30:21,Arş. Grv. Kübra ADALI,1.0,1.0,1.0,1.0
26.01.2025 12:30:45,Dr. Oğuz Altun,1.0,1.0,1.0,1.0
26.01.2025 12:30:48,Doç. Dr. M. Amaç Güvensan,10.0,6.0,10.0,10.0
26.01.2025 12:31:06,Dr. Göksel Biricik,8.0,6.0,9.0,7.0
26.01.2025 12:31:07,Dr. H. İrem Türkmen,3.0,2.0,2.0,3.0
26.01.2025 12:33:28,Dr. H. İrem Türkmen,3.0,4.0,2.0,2.0
26.01.2025 12:36:06,Dr. Furkan Çakmak,1.0,1.0,1.0,1.0
26.01.2025 12:42:25,Prof. Dr. Banu Diri,5.0,2.0,4.0,8.0
26.01.2025 12:42:51,Prof. Dr. M. Fatih Amasyalı,7.0,7.0,7.0,5.0
26.01.2025 12:43:23,Doç. Dr. Hamza Osman İlhan,6.0,3.0,5.0,1.0
26.01.2025 12:43:49,Dr. Ayşe Dalgalı,2.0,9.0,2.0,6.0
26.01.2025 12:44:19,Dr. H. İrem Türkmen,2.0,6.0,2.0,5.0
26.01.2025 12:44:51,Dr. Yunus Emre Selçuk,5.0,6.0,4.0,4.0
26.01.2025 12:46:14,Arş. Grv. Burak Ahmet ÖZDEN,9.0,9.0,9.0,9.0
26.01.2025 12:47:58,Prof. Dr. Banu Diri,4.0,7.0,3.0,1.0
26.01.2025 12:53:30,Dr. Göksel Biricik,1.0,1.0,1.0,1.0
26.01.2025 12:54:12,Arş. Grv. Mustafa Mert KARA,1.0,1.0,1.0,1.0
26.01.2025 12:54:41,Arş. Grv. Muzaffer Kaan YÜCE,1.0,1.0,1.0,1.0
26.01.2025 12:55:43,Arş. Grv. Sultan Sevgi TURGUT,1.0,1.0,1.0,1.0
26.01.2025 13:02:32,Doç. Dr. M. Amaç Güvensan,8.0,2.0,8.0,8.0
26.01.2025 13:09:46,Doç. Dr. Hamza Osman İlhan,2.0,5.0,1.0,1.0
26.01.2025 13:10:12,Arş. Grv. Emre PARLAK,10.0,10.0,10.0,10.0
26.01.2025 13:10:29,Doç. Dr. M. Amaç Güvensan,10.0,4.0,10.0,8.0
26.01.2025 13:10:45,Dr. Furkan Çakmak,10.0,7.0,8.0,6.0
26.01.2025 13:12:26,Doç. Dr. Hamza Osman İlhan,3.0,3.0,3.0,3.0
26.01.2025 13:12:40,Prof. Dr. M. Fatih Amasyalı,9.0,7.0,10.0,10.0
26.01.2025 13:12:59,Dr. Ahmet Elbir,7.0,7.0,8.0,6.0
26.01.2025 13:13:30,Dr. Furkan Çakmak,8.0,8.0,8.0,10.0
26.01.2025 13:25:38,Prof. Dr. Banu Diri,1.0,5.0,1.0,1.0
26.01.2025 13:26:05,Doç. Dr. Gökhan Bilgin,3.0,5.0,3.0,1.0
26.01.2025 13:26:22,Dr. Ayşe Dalgalı,1.0,5.0,1.0,1.0
26.01.2025 13:27:22,Prof. Dr. M. Fatih Amasyalı,10.0,7.0,8.0,7.0
26.01.2025 13:35:50,Dr. H. İrem Türkmen,5.0,9.0,4.0,3.0
26.01.2025 14:34:48,Dr. Yunus Emre Selçuk,1.0,1.0,1.0,1.0
26.01.2025 14:36:57,Dr. Oğuz Altun,1.0,1.0,1.0,1.0
26.01.2025 14:38:23,Doç. Dr. Mehmet Sıddık Aktaş,1.0,1.0,1.0,1.0
26.01.2025 15:53:59,Prof. Dr. M. Elif Karslıgil,1.0,5.0,1.0,1.0
26.01.2025 15:54:18,Dr. Ahmet Elbir,8.0,6.0,8.0,7.0
26.01.2025 15:55:25,Dr. M. Utku Kalay,1.0,7.0,1.0,1.0
26.01.2025 19:13:44,Doç. Dr. M. Amaç Güvensan,10.0,5.0,7.0,8.0
26.01.2025 21:14:18,Doç. Dr. Mehmet Sıddık Aktaş,10.0,10.0,10.0,10.0
